id,full_name,p_b,job,country,state,city,marketing,series,no_of_units,warranty
301,Cassaundra Elloy,Business,Game developer,United States,California,Pasadena,Recommendation,Servers,52,36
302,Humfrey Conklin,Business,Software Engineer,Canada,Ontario,Bancroft,Tech Blogs,XPS,27,12
303,Germaine Bevans,Personal,Game developer,United States,California,Bakersfield,Social Networks,Servers,2,12
304,Blayne Lockett,Personal,Student,United States,California,Richmond,Offline,Servers,1,24
305,Cly McMurty,Personal,Game developer,Canada,Ontario,Keswick,Social Networks,XPS,2,24
306,Kitty Hought,Business,Software Engineer,United States,California,Carlsbad,Social Networks,Servers,100,36
307,Shir Clausen,Personal,Student,United States,California,Glendale,Recommendation,Servers,2,24
308,Donnell Gartin,Personal,Chef,United States,California,San Francisco,Offline,Servers,1,12
309,Nalani Ryson,Business,Software Engineer,United States,California,Petaluma,Tech Blogs,XPS,55,24
310,Parnell Whitehorn,Personal,Chef,Canada,Ontario,Keswick,Recommendation,XPS,1,24
311,Ricky Itschakov,Business,Software Engineer,Canada,Ontario,Port Colborne,Social Networks,XPS,94,6
312,Anders Goodrum,Business,Game developer,Canada,Ontario,Markham,Offline,XPS,88,6
313,Kippy Bain,Personal,Game developer,United States,California,Pasadena,Offline,Servers,2,12
314,Tammy Fellgate,Personal,Software Engineer,Canada,Ontario,Skatepark,Social Networks,Alienware,2,24
315,Jo Balam,Business,Student,United States,California,Pasadena,Tech Blogs,Servers,23,12
316,Alvinia Gullick,Personal,Game developer,Canada,Ontario,Orillia,Offline,XPS,2,6
317,Herminia Rosedale,Personal,Game developer,Canada,Ontario,North Bay,Offline,XPS,2,6
318,Chris Roskell,Business,Software Engineer,Canada,Ontario,Waterloo,Tech Blogs,XPS,42,6
319,Eli Gannon,Personal,Chef,United States,California,San Jose,Tech Blogs,Servers,1,36
320,Corena Rawe,Business,Software Engineer,Canada,Ontario,Bancroft,Recommendation,XPS,85,24
321,Waiter Gooms,Business,Game developer,Canada,Ontario,Peterborough,Social Networks,XPS,56,6
322,Nichole O'Shee,Personal,Software Engineer,Canada,Ontario,Midland,Offline,XPS,1,24
323,Cornelle Ritelli,Personal,Game developer,United States,California,San Diego,Tech Blogs,Servers,2,6
324,Aretha Halfhide,Personal,Chef,United States,California,Bakersfield,Recommendation,Servers,2,6
325,Kelsey Cant,Business,Game developer,Canada,Ontario,Gananoque,Recommendation,XPS,34,6
326,Miles Forlonge,Business,Software Engineer,Canada,Ontario,Picton,Recommendation,XPS,53,12
327,Niki Prendeville,Personal,Student,Canada,Ontario,North Perth,Tech Blogs,XPS,2,36
328,Jemimah Chopy,Business,Chef,Canada,Ontario,Petrolia,Tech Blogs,XPS,90,36
329,Dalli Duggan,Personal,Software Engineer,Canada,Ontario,Pickering,Offline,XPS,1,24
330,Meagan Kaaskooper,Business,Chef,United States,California,Salinas,Offline,Servers,26,6
331,Reynold Colicot,Business,Software Engineer,Canada,Ontario,Omemee,Tech Blogs,XPS,22,24
332,Dori Swains,Business,Game developer,United States,California,Los Angeles,Tech Blogs,Servers,25,6
333,Doug Dundin,Personal,Student,Canada,Ontario,Marathon,Social Networks,XPS,2,6
334,Ailsun Abbet,Personal,Chef,Canada,Ontario,North Perth,Recommendation,XPS,1,36
335,Sigismond Keppe,Personal,Game developer,United States,California,Sacramento,Offline,Servers,1,6
336,Vito Train,Personal,Software Engineer,United States,California,Burbank,Tech Blogs,Servers,2,12
337,Sal Thumann,Personal,Software Engineer,United States,California,Sacramento,Offline,Servers,1,36
338,Katti Hankinson,Business,Software Engineer,United States,California,Palmdale,Tech Blogs,XPS,56,36
339,Lek Yellowlees,Personal,Game developer,United States,California,San Diego,Social Networks,Servers,1,6
340,Lorrie Hankin,Personal,Chef,United States,California,Fresno,Recommendation,Servers,1,12
341,Marj McTeague,Personal,Chef,Canada,Ontario,North York,Social Networks,XPS,2,6
342,Jannel Summergill,Personal,Student,United States,California,San Diego,Recommendation,Servers,2,24
343,Moselle Maylin,Business,Student,United States,California,San Jose,Social Networks,Servers,71,12
344,Shirl Kilvington,Personal,Student,United States,California,Van Nuys,Social Networks,Servers,2,36
345,David Cluett,Business,Chef,Canada,Ontario,Dorchester,Social Networks,XPS,93,12
346,Chris Goodger,Business,Software Engineer,Canada,Ontario,Deep River,Tech Blogs,XPS,25,12
347,Marten Boshard,Business,Game developer,Canada,Ontario,Port Colborne,Offline,XPS,41,6
348,Lucina Attridge,Business,Student,United States,California,Sacramento,Recommendation,Servers,60,12
349,Isidora Szymon,Personal,Chef,United States,California,San Diego,Recommendation,Servers,1,24
350,Marion Lazell,Personal,Chef,Canada,Ontario,Angus,Tech Blogs,XPS,1,12
351,Kalina Kirlin,Personal,Student,Canada,Ontario,Niagara Falls,Offline,XPS,1,24
352,Gussy Walklett,Business,Game developer,Canada,Ontario,Orillia,Offline,XPS,83,36
353,Franciska Hollyard,Business,Software Engineer,Canada,Ontario,Pembroke,Offline,XPS,77,36
354,Clareta Gladdolph,Business,Software Engineer,Canada,Ontario,Owen Sound,Recommendation,XPS,44,6
355,Evvie Blazejewski,Business,Software Engineer,Canada,Ontario,Smiths Falls,Social Networks,XPS,60,12
356,Crystal Sherred,Business,Chef,United States,California,San Jose,Social Networks,Servers,98,12
357,Cathleen Wellan,Personal,Game developer,United States,California,Corona,Social Networks,Servers,2,36
358,Alfie Mehaffey,Personal,Chef,Canada,Ontario,Vaughan,Social Networks,XPS,2,24
359,Trish Witheford,Business,Game developer,Canada,Ontario,Greater Napanee,Recommendation,XPS,36,24
360,Kendra Zannuto,Business,Chef,United States,California,Los Angeles,Social Networks,Servers,41,6
361,Orion Gudger,Business,Student,Canada,Ontario,Waterloo,Tech Blogs,XPS,81,6
362,Avictor Quinnette,Business,Student,Canada,Ontario,Stratford,Offline,XPS,63,36
363,Bessie Aiers,Business,Software Engineer,Canada,Ontario,Petrolia,Tech Blogs,XPS,46,36
364,Rusty Pitkin,Business,Student,United States,California,Sacramento,Social Networks,Servers,63,24
365,Stevena Verma,Personal,Software Engineer,United States,California,San Francisco,Offline,Servers,2,24
366,Pavla Sothern,Business,Student,Canada,Ontario,Angus,Tech Blogs,Alienware,80,24
367,Piggy Tocher,Business,Chef,United States,California,San Francisco,Recommendation,Servers,39,36
368,Margalo Minister,Personal,Software Engineer,United States,California,Long Beach,Tech Blogs,XPS,1,12
369,Bradley Caltera,Business,Software Engineer,United States,California,San Jose,Offline,Servers,88,12
370,Kerwin Colleford,Personal,Game developer,United States,California,San Diego,Tech Blogs,Servers,2,12
371,Yancy Mundwell,Personal,Software Engineer,Canada,Ontario,Oakville,Social Networks,XPS,2,24
372,Selinda Rubinlicht,Business,Student,United States,California,Santa Rosa,Offline,Servers,68,12
373,Salaidh Bilsland,Business,Software Engineer,United States,California,Santa Barbara,Social Networks,XPS,90,24
374,Antonin Hamberstone,Personal,Software Engineer,United States,California,Palmdale,Tech Blogs,Servers,2,24
375,Aldo Sellors,Business,Chef,United States,California,Fullerton,Tech Blogs,Servers,68,6
376,Kyle Skeat,Personal,Software Engineer,United States,California,Fullerton,Tech Blogs,Servers,1,6
377,Johan Boays,Business,Student,United States,California,Garden Grove,Recommendation,Servers,94,36
378,Hobey Ladbrook,Business,Game developer,United States,California,Whittier,Social Networks,Servers,36,24
379,Lorrin Giovanizio,Business,Game developer,Canada,Ontario,Windsor,Social Networks,XPS,83,12
380,Laverne Lukianov,Business,Game developer,United States,California,San Francisco,Tech Blogs,Servers,82,6
381,Welsh Chinnock,Business,Software Engineer,Canada,Ontario,Fort Erie,Tech Blogs,XPS,59,24
382,Davon Cargill,Business,Student,United States,California,San Jose,Offline,Servers,73,12
383,Leland Iglesias,Business,Game developer,Canada,Ontario,Delaware,Social Networks,XPS,50,6
384,Schuyler Silverstone,Personal,Game developer,Canada,Ontario,Mississauga,Recommendation,XPS,2,6
385,Lucilia Vaines,Personal,Game developer,Canada,Ontario,Markham,Tech Blogs,XPS,2,36
386,Muhammad Yurocjkin,Business,Game developer,United States,California,San Jose,Offline,Servers,21,24
387,Robbert Gibbings,Business,Student,United States,California,Fresno,Social Networks,Alienware,44,36
388,Harley Nansom,Personal,Software Engineer,United States,California,Sacramento,Tech Blogs,Servers,1,12
389,Brady Whitford,Business,Game developer,Canada,Ontario,Kapuskasing,Social Networks,XPS,43,6
390,Benoit Pozzi,Business,Software Engineer,Canada,Ontario,Innisfil,Tech Blogs,XPS,29,24
391,Stefania Farenden,Business,Game developer,United States,California,Santa Ana,Tech Blogs,Servers,30,36
392,Nertie Sabin,Business,Chef,United States,California,Corona,Tech Blogs,Servers,32,36
393,Ora Younghusband,Personal,Student,United States,California,Santa Ana,Offline,Servers,1,12
394,Saundra Egre,Personal,Student,Canada,Ontario,Brant,Tech Blogs,XPS,2,36
395,Henka Ell,Business,Chef,United States,California,Palmdale,Recommendation,Servers,45,12
396,Alexi Pinn,Personal,Game developer,India,Andhra Pradesh,Agraharam,Offline,Inspiron,2,24
397,Larina Pibsworth,Personal,Student,Canada,Ontario,Kingston,Social Networks,Alienware,1,36
398,Clive Lawrenson,Business,Student,Canada,Ontario,Aylmer,Offline,XPS,87,12
399,Moina Oller,Business,Student,Canada,Ontario,Orangeville,Recommendation,XPS,69,24
400,Tonia Everiss,Business,Software Engineer,Canada,Ontario,Niagara Falls,Recommendation,XPS,60,12
401,Lauree Murtell,Business,Game developer,United States,California,San Jose,Offline,Servers,74,36
402,Zeke Harbar,Personal,Student,United States,California,Bakersfield,Social Networks,Servers,1,12
403,Tome Jowitt,Personal,Student,United States,California,Los Angeles,Social Networks,Servers,1,6
404,Harriott Minard,Business,Chef,Canada,Ontario,Hearst,Offline,XPS,96,24
405,Gerhard Gourdon,Personal,Student,United States,California,Sacramento,Social Networks,Servers,2,12
406,Lucius Boise,Business,Software Engineer,United States,California,Van Nuys,Recommendation,Servers,97,6
407,Karlyn Habeshaw,Business,Student,United States,California,Garden Grove,Tech Blogs,Servers,91,24
408,Mair Yakobowitz,Business,Chef,United States,California,San Rafael,Social Networks,XPS,76,12
409,Heinrick Ashall,Business,Software Engineer,United States,California,Sacramento,Offline,Servers,26,12
410,Blanca Gallimore,Business,Chef,Canada,Ontario,Owen Sound,Offline,XPS,52,12
411,Gamaliel Delamaine,Business,Game developer,Canada,Ontario,Innisfil,Social Networks,XPS,61,24
412,Opalina Freckingham,Personal,Chef,Canada,Ontario,Iroquois Falls,Tech Blogs,XPS,2,12
413,Ulric Wrotchford,Business,Chef,United States,California,Fullerton,Recommendation,Chromebook,54,6
414,Gib Bartolozzi,Business,Game developer,Canada,Ontario,Lambton Shores,Tech Blogs,Inspiron,85,24
415,Courtney Ornillos,Business,Software Engineer,United States,California,Pasadena,Social Networks,Servers,39,36
416,Savina Christer,Business,Student,Canada,Ontario,Norfolk County,Tech Blogs,XPS,84,24
417,Tannie Geggus,Personal,Game developer,Canada,Ontario,Belleville,Recommendation,XPS,1,12
418,Raleigh Carder,Personal,Student,United States,California,Orange,Tech Blogs,Servers,2,24
419,Graham Mabb,Personal,Game developer,Canada,Ontario,Omemee,Tech Blogs,XPS,2,6
420,Janos Dryden,Business,Game developer,Canada,Ontario,Little Current,Offline,XPS,33,6
421,Joela Paschke,Personal,Chef,United States,California,Huntington Beach,Social Networks,Servers,2,36
422,Petra Kinnin,Business,Student,United States,California,San Francisco,Offline,Servers,47,24
423,Torin Demke,Personal,Student,United States,California,San Diego,Tech Blogs,Servers,2,36
424,Edwina Cleugher,Business,Chef,United States,California,Stockton,Tech Blogs,Servers,82,12
425,Reynold Van der Kruis,Business,Student,United States,California,San Francisco,Tech Blogs,Servers,87,6
426,Corbett Corneille,Personal,Game developer,Canada,Ontario,Deep River,Offline,XPS,1,6
427,Elbert Peedell,Personal,Game developer,Canada,Ontario,Prince Edward,Social Networks,XPS,1,6
428,Yorgos Aleksidze,Business,Student,Canada,Ontario,Parry Sound,Tech Blogs,XPS,67,6
429,Starr Grunbaum,Business,Game developer,United States,California,Simi Valley,Recommendation,Servers,82,12
430,Idalina Tatum,Personal,Chef,Canada,Ontario,Pickering,Social Networks,XPS,2,6
431,Tulley Kildale,Personal,Chef,Canada,Ontario,Owen Sound,Offline,XPS,2,6
432,Filia Ockland,Business,Student,Canada,Ontario,Mississauga,Tech Blogs,XPS,35,6
433,Pat Giovannacci,Personal,Game developer,United States,California,Salinas,Tech Blogs,Servers,1,36
434,Kellen Perkin,Business,Chef,Canada,Ontario,St. Catharines,Offline,XPS,85,6
435,Harman Ossenna,Personal,Software Engineer,Canada,Ontario,Omemee,Offline,XPS,2,24
436,Shaylah Nowland,Personal,Chef,United States,California,Pasadena,Offline,Servers,2,24
437,Gianna Lambal,Business,Game developer,United States,California,San Jose,Tech Blogs,Servers,84,12
438,Trescha Poynser,Business,Student,Canada,Ontario,Pickering,Social Networks,XPS,28,6
439,Hartley Busswell,Personal,Game developer,Canada,Ontario,Peterborough,Social Networks,XPS,2,6
440,Thadeus Wasbey,Personal,Software Engineer,United States,California,San Francisco,Social Networks,Servers,2,6
441,Steffie Lawden,Personal,Software Engineer,United States,California,Huntington Beach,Offline,Servers,1,36
442,Lise Mazdon,Business,Student,United States,California,Los Angeles,Tech Blogs,Servers,32,36
443,Robbie Petschelt,Business,Chef,United States,California,San Diego,Recommendation,Servers,24,36
444,Skipper Brittle,Personal,Student,United States,California,San Rafael,Offline,Servers,2,6
445,Gilbertina Behne,Personal,Student,United States,California,Stockton,Social Networks,Servers,2,36
446,Trip Apthorpe,Business,Software Engineer,Canada,Ontario,Orangeville,Recommendation,XPS,74,36
447,Abbye Groome,Business,Software Engineer,United States,California,San Francisco,Social Networks,Servers,60,12
448,Noni Domonkos,Personal,Student,United States,California,Orange,Offline,Servers,2,24
449,Keefer Bodega,Business,Game developer,Canada,Ontario,Clarence-Rockland,Recommendation,XPS,45,36
450,Lona Tremble,Business,Student,United States,California,San Francisco,Tech Blogs,Servers,32,36
451,Tatiania Larkin,Business,Software Engineer,Canada,Ontario,Innisfil,Social Networks,XPS,48,12
452,Uri Tracey,Personal,Student,Canada,Ontario,Port Colborne,Recommendation,XPS,1,24
453,Elke Oxton,Personal,Chef,Canada,Ontario,Oakville,Tech Blogs,XPS,2,24
454,Modesty Dumphy,Personal,Chef,United States,California,San Bernardino,Social Networks,Servers,1,36
455,Fawnia Napleton,Business,Chef,Canada,Ontario,Petawawa,Offline,XPS,31,24
456,Vitoria Snoding,Personal,Chef,United States,California,Sacramento,Social Networks,Servers,1,6
457,Leesa Everard,Personal,Software Engineer,United States,California,Pasadena,Offline,Servers,2,6
458,Ashly Hodgin,Business,Software Engineer,United States,California,Stockton,Tech Blogs,Servers,40,36
459,Westbrook Juniper,Personal,Software Engineer,United States,California,San Diego,Social Networks,Servers,1,24
460,Miner Arondel,Personal,Student,United States,California,San Diego,Tech Blogs,Servers,2,24
461,Hayden Wimpeney,Business,Game developer,United States,California,Glendale,Social Networks,Alienware,79,24
462,Gabriela Collishaw,Business,Chef,United States,California,Sacramento,Tech Blogs,Servers,96,36
463,Sherilyn Waugh,Business,Chef,Canada,Ontario,Renfrew,Offline,XPS,89,12
464,Linnet Iowarch,Personal,Software Engineer,United States,California,Fullerton,Tech Blogs,Servers,2,36
465,Reinwald Clancey,Business,Game developer,Canada,Ontario,Owen Sound,Offline,Inspiron,37,12
466,Wes Gamell,Business,Software Engineer,United States,California,San Francisco,Tech Blogs,Servers,60,6
467,Peadar Mathes,Business,Game developer,Canada,Ontario,Bells Corners,Offline,XPS,74,36
468,Kristina Reuven,Personal,Chef,Canada,Ontario,Marathon,Tech Blogs,XPS,1,6
469,Davie Dericut,Personal,Student,Canada,Ontario,Mattawa,Social Networks,XPS,1,6
470,Monte Blowes,Personal,Software Engineer,United States,California,Glendale,Tech Blogs,Servers,1,36
471,Phylis Raincin,Business,Chef,Canada,Ontario,Petrolia,Recommendation,XPS,94,6
472,Heda Elsby,Personal,Software Engineer,United States,California,Los Angeles,Recommendation,XPS,1,6
473,Atalanta Tinn,Business,Chef,Canada,Ontario,North Bay,Recommendation,XPS,39,36
474,Silvana Buckwell,Personal,Game developer,Canada,Ontario,Windsor,Offline,XPS,1,24
475,Emmalee Sprull,Personal,Chef,Canada,Ontario,Kingston,Tech Blogs,XPS,1,12
476,Cristiano Ivons,Personal,Software Engineer,United States,California,Stockton,Offline,Servers,2,24
